fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	use_quantized_grad	quant_train_renew_leaf	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_grad_quant_bins	estimulos	ganancia	iteracion_bayesiana
20241012 150559	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1314	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0758509814398094	0.250993641660963	1971	5040	4	10895	135200767.116442	31
20241012 150726	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1120	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0245407633831512	0.372938985446202	3635	2855	4	9893	136311818.590705	32
20241012 150748	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0972082162878357	0.901672110003046	1878	1176	5	11515	134853110.944528	33
20241012 151007	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2271	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0231172785004269	0.371169270467724	3170	7409	4	13159	134992747.126437	34
20241012 151118	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1299	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0741905794652646	0.840504102092016	2081	7731	3	11865	134866019.490255	35
20241012 151338	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2529	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0409188835157472	0.180394018964878	3002	8749	3	11436	132522432.783608	36
20241012 151444	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	764	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0245968493775486	0.753481715358319	3116	1552	7	9940	138021739.130435	37
20241012 151544	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	608	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0323363599975121	0.364492245327774	2663	1240	6	11980	136694362.818591	38
20241012 151656	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	984	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0242420241243911	0.761494533534287	2845	2112	6	9984	138545903.048476	39
20241012 151738	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	418	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0286112046103672	0.766247948874927	3261	2063	7	11463	136177310.844578	40
20241012 151805	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	233	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0628053530325283	0.765535267575335	2836	2120	6	10118	137616858.570715	41
