Feature	Gain	Cover	Frequency
vmr_mpagominimo_lag1	0.00394555347698127	0.00344046091763445	0.00488516685699784
vmr_mpagospesos_delta1	0.00392205535746966	0.00350160618479928	0.00517066362136785
ctrx_quarter_normalizado_delta1	0.00391272128159051	0.00455168775520865	0.00385244399328906
mcuentas_saldo_delta1	0.00388583041909467	0.00691259736192633	0.00372203189104598
mrentabilidad_lag1	0.00383333790940422	0.00427512278737363	0.00421195843731055
mtarjeta_visa_descuentos_lag1	0.003791665386052	0.00267186781237354	0.00794103963118048
chomebanking_transacciones_lag1	0.00358891564675242	0.00369694971213846	0.00446573333897278
mcomisiones_mantenimiento_delta1	0.00358695170596368	0.00282464651551195	0.000881162852993839
ctarjeta_visa_transacciones	0.00358334406292229	0.00254642792144931	0.00135346614219854
mactivos_margen_lag1	0.00356191474105342	0.00544352609404838	0.00349292954926758
mtransferencias_recibidas_lag1	0.0035564080232817	0.0041015211395776	0.00398638074694413
ctrx_quarter_delta1	0.00353528851738727	0.00475101387272043	0.0032603025560772
vmr_mpagospesos_lag1	0.00353258275389204	0.00278388750632018	0.00418376122601475
Visa_status	0.00353095905053601	0.00204545869311766	0.000666159116863342
cproductos	0.00348968552392861	0.00580269551792998	0.000525173060384328
vmr_msaldopesos	0.00347667964586479	0.00269797303939669	0.00366563746845437
vmr_mpagominimo_delta1	0.00345337770058926	0.00379393810062068	0.00436704309943747
vmr_Visa_mlimitecompra	0.00341596347817994	0.00366646839182487	0.00425777890566623
ccajas_transacciones	0.00340311750980347	0.00335595248481488	0.00197732944211817
Visa_mfinanciacion_limite	0.00337459763725115	0.00321211563352614	0.00391236306729265
cdescubierto_preacordado	0.00335596724217019	0.00309287429654931	0.003003003003003
Visa_mfinanciacion_limite_lag1	0.00334539421443037	0.00321180526353012	0.00378195096504956
vmr_Visa_mlimitecompra_lag1	0.00333571255739588	0.00351658783867377	0.00404277516953573
vmr_msaldototal	0.00333293156968226	0.00273884409757875	0.00369383467975017
chomebanking_transacciones_delta1	0.00332340276424617	0.00522136100611571	0.00383834538764116
mtarjeta_master_descuentos_delta1	0.00327332317674835	0.00182318697792005	0.00524468130101933
mcuentas_saldo_lag1	0.00324131165671774	0.00517373580981625	0.00310874254536226
Visa_mpagominimo_delta1	0.00322909891157522	0.0033627939412456	0.00410621889495129
mpasivos_margen_lag1	0.00322329171291468	0.00335174979161722	0.00278094996404856
Visa_cconsumos	0.00321314068888268	0.00321848901433614	0.00433884588814166
Visa_mlimitecompra_lag1	0.0032107920509883	0.00355254776488087	0.00379604957069746
vmr_msaldopesos_lag1	0.00318280177732492	0.00254153001087473	0.00344358442949992
vmr_mpagospesos	0.00317586072967477	0.00308292733291665	0.00373965514810585
Visa_mlimitecompra	0.00317143458938296	0.00315139059763388	0.00368678537692622
vmr_mconsumospesos	0.00316895871765581	0.00299381794788216	0.00404982447235968
mtransferencias_emitidas	0.00316736896169614	0.00424793216898531	0.0039476095814124
vmr_mconsumototal	0.00313682600411924	0.00283670300589044	0.00392998632435252
vmr_mconsumototal_lag1	0.00306415034582883	0.00247535994573886	0.00411679284918722
Visa_msaldopesos_delta1	0.00306292366456153	0.00295945990371702	0.00399343004976808
Visa_msaldototal_delta1	0.00304626080527644	0.00256607520777081	0.00396523283847228
mautoservicio	0.00304431792650084	0.00354686741373405	0.00227692481213608
vmr_msaldototal_delta1	0.00301597205545004	0.00297310610103495	0.00403220121529981
vmr_mconsumospesos_lag1	0.00299368088306684	0.00232420623831357	0.0039758067927082
mttarjeta_visa_debitos_automaticos	0.00296051936227009	0.00337494935433198	0.0039476095814124
ccajeros_propios_descuentos_delta1	0.00293361817754142	0.0016192211000541	0.00582272413258329
vm_mpagominimo	0.00290365284237648	0.00276796095034933	0.00294308392899942
vmr_msaldopesos_delta1	0.00288725522825197	0.00275662364708083	0.00384187003905314
vmr_msaldototal_lag1	0.00287471022151395	0.00238682041257263	0.00331669697866881
Master_mpagospesos_lag1	0.00287042377212698	0.00361652317267134	0.00348588024644363
mpasivos_margen_delta1	0.00286849757704293	0.0037493902565986	0.00344005977808795
Visa_mconsumosdolares_lag1	0.00286216875542346	0.00301462824184733	0.00334841884137659
mcaja_ahorro_delta1	0.00280554914870996	0.00375411381590052	0.00290078811205572
mttarjeta_visa_debitos_automaticos_lag1	0.0027255328760431	0.00264695422350855	0.00360219374303881
mtarjeta_master_descuentos	0.00272050050556393	0.00172821280795932	0.00441638821920512
vmr_mconsumospesos_delta1	0.00271202078194572	0.00287391049963286	0.00346473233797177
mcaja_ahorro_dolares_delta1	0.00265391649201996	0.00433209494303518	0.00235446714319954
vmr_msaldodolares2	0.00255400319283588	0.00322535757939354	0.00330964767584486
vm_mpagominimo_lag1	0.00254594697818993	0.00307386097162022	0.00285144299228806
mcuenta_debitos_automaticos	0.00254220645779868	0.00410491152515468	0.00166363546645237
vm_msaldopesos	0.00252846672670353	0.0014216968977138	0.00159314243821286
vmr_mconsumototal_delta1	0.00248892569238498	0.00258816873851692	0.00330612302443288
Visa_msaldopesos_lag1	0.00247451265734195	0.00209967366365065	0.00313341510524609
Visa_msaldototal_lag1	0.00246517816976416	0.00198546749250559	0.00320038348207362
mcaja_ahorro_dolares_lag1	0.00245953258142254	0.00363951690005929	0.00281972112958028
mtransferencias_emitidas_lag1	0.00240358924511878	0.00273467013001358	0.003003003003003
mtarjeta_master_descuentos_lag1	0.00237549858307097	0.00141789674384287	0.00462786730392364
mautoservicio_lag1	0.00235988228137825	0.00353004265859912	0.00284439368946411
Master_mpagospesos	0.002354907586189	0.00309982504354865	0.0029889043973551
cseguro_accidentes_personales	0.00234822629494762	0.00329670691411356	0.00261529134768571
Visa_mconsumosdolares	0.00233922568135767	0.00269241320274112	0.00315808766512992
Master_fultimo_cierre	0.0023352334318703	0.00237544106715327	0.00295013323182337
mtransferencias_recibidas_delta1	0.00232153824446647	0.00356401224089981	0.00264701321039349
Master_mconsumototal_lag1	0.00229184216318301	0.00245539372880239	0.00292898532335152
vm_msaldototal	0.00228600882254735	0.00133615985896812	0.00155789592409311
Master_mpagospesos_delta1	0.00228513935597883	0.00295790824397292	0.00285849229511201
Master_fultimo_cierre_lag1	0.00228219573771974	0.00242991219042891	0.00295013323182337
Master_mconsumospesos_lag1	0.00224472874762053	0.0020732186877843	0.00281267182675633
Master_mpagominimo	0.00223009306446152	0.00281241729086661	0.00263996390756954
Master_mpagominimo_lag1	0.00220808300879665	0.00277180086353939	0.00264701321039349
mcaja_ahorro_dolares	0.00220507316963679	0.00343316727028707	0.00242848482285102
vm_mlimitecompra_lag1	0.00216174374281886	0.00228869888349508	0.00244963273132287
Visa_cconsumos_delta1	0.00215822792215125	0.0027255420371427	0.00253069971379831
ccajeros_propios_descuentos_lag1	0.00211985377474056	0.00145339335032868	0.00503320221630081
mpagomiscuentas	0.00211606860966539	0.00453417329954013	0.00205839642459361
mcomisiones_mantenimiento_lag1	0.00211518050698252	0.00316454474959803	0.00114551170889199
Master_mconsumospesos	0.00208195910323546	0.00193451554456327	0.00264348855898152
mcuenta_debitos_automaticos_lag1	0.00207196158387128	0.00406865815995349	0.00183986803705114
mcajeros_propios_descuentos_lag1	0.00205743982783643	0.00175424146500184	0.00430712402543389
vm_mpagospesos_delta1	0.00205591305029256	0.00275463273246648	0.00263643925615757
vmr_msaldodolares2_delta1	0.00205513378067388	0.00287438941870424	0.00262586530192164
ccajeros_propios_descuentos	0.00205469610638832	0.00123009036590127	0.00430359937402191
vm_mfinanciacion_limite_lag1	0.00204072582357486	0.00236473620338937	0.00236151644602349
vm_mfinanciacion_limite	0.00203175267605618	0.00200345411386833	0.00253422436521028
vmr_msaldodolares2_lag1	0.0019987699658543	0.0026819234007489	0.00287611555217189
mcajeros_propios_descuentos_delta1	0.00199324529270851	0.00127631494982215	0.00376785235940166
Master_msaldototal	0.001991692169557	0.00191639756525861	0.00232979458331571
Master_fultimo_cierre_delta1	0.00197561355230562	0.00126531835918795	0.00308406998547844
vm_mlimitecompra	0.00196101516181344	0.00230566203530307	0.00233684388613966
Master_msaldopesos	0.00195388571136766	0.0021146188873356	0.00230512202343188
internet	0.00193902103415855	0.00482719111117559	0.000539271666032229
Master_mconsumototal	0.00193088760954624	0.00188984937376367	0.00255184762227016
ctarjeta_debito_transacciones	0.00192014434779784	0.00189775006411276	0.000701405630983096
vm_mpagominimo_delta1	0.00191106681283445	0.0028872093260573	0.00226282620648818
mautoservicio_delta1	0.00186546379178929	0.00321317933798996	0.00191388571670262
Master_Fvencimiento_delta1	0.00186355823755912	0.00142634445774301	0.00287611555217189
mtransferencias_emitidas_delta1	0.00185132875853935	0.00403083981848983	0.00194208292799842
cpayroll_trx	0.00184178076026986	0.00048034574609562	3.87711655317289e-05
cdescubierto_preacordado_delta1	0.00179565310239231	0.00258613093073432	0.000271398158722102
matm_lag1	0.00178787497054482	0.00175688726696604	0.00121952938854347
mcajeros_propios_descuentos	0.00176888897189981	0.00110645296085645	0.00321095743630955
tcallcenter_lag1	0.00176861277693245	0.002309699128083	0.00174117779751583
cproductos_lag1	0.00174404256076138	0.00726311570964868	0.000849440990286061
Visa_fultimo_cierre	0.00173657127084093	0.00247979586824397	0.00212184015000916
Master_msaldopesos_lag1	0.00172031113048914	0.0019098779881005	0.00221348108672052
Master_mconsumototal_delta1	0.00168046873756994	0.00194599742717408	0.00217823457260077
thomebanking_delta1	0.00164910275849768	0.00323450850058162	0.00180462152293138
cdescubierto_preacordado_lag1	0.00162675281494718	0.00201695011988264	0.00254832297085818
Master_mconsumospesos_delta1	0.0016248103533613	0.00188523843415997	0.00217823457260077
mtarjeta_visa_consumo_lag1	0.00162323325177329	0.00178430930742003	0.00176232570598768
Master_msaldototal_lag1	0.00160729923931301	0.00176868104146067	0.00209364293871336
mtarjeta_visa_consumo_delta1	0.00158785271675497	0.00233338112923472	0.00198437874494213
Visa_mconsumosdolares_delta1	0.00158218665586953	0.00210962053216532	0.00197732944211817
Master_fechaalta_delta1	0.00153486530633411	0.000986886415477414	0.00232626993190374
mpagomiscuentas_lag1	0.00153207325998285	0.00186033264497003	0.00176585035739965
mcomisiones_mantenimiento	0.00152831689477609	0.00168870203212878	0.0007437014479268
Master_mfinanciacion_limite_delta1	0.00152791854537267	0.00238675259344693	0.00175175175175175
vm_msaldopesos_delta1	0.00152526746899231	0.00215281427650511	0.00188921315681879
Master_msaldototal_delta1	0.0014902383275577	0.00171273102370203	0.00167420942068829
mextraccion_autoservicio	0.00147660800902151	0.0020191607570501	0.00139928661055422
ccomisiones_mantenimiento_delta1	0.00145447574089425	0.00215136315647471	0.000239676296014324
Master_mpagominimo_delta1	0.00145300515325283	0.00232916730723242	0.00155789592409311
vm_msaldototal_delta1	0.00144839290840689	0.00204917637969268	0.00190331176246669
vm_msaldopesos_lag1	0.00143796398772423	0.0015642724844769	0.00139928661055422
ctarjeta_visa_descuentos_lag1	0.00140912126978423	0.000995813809392848	0.00293603462617547
tcallcenter_delta1	0.00140010015503767	0.00253829495297265	0.00116313496595187
vmr_mconsumosdolares	0.001382031863761	0.00230201578233732	0.00149092754726558
Visa_fultimo_cierre_lag1	0.00136542754499477	0.00168413598821559	0.00162133964950866
vm_mpagospesos_lag1	0.00134773848627504	0.00132283963099629	0.00151207545573743
mttarjeta_visa_debitos_automaticos_delta1	0.00134486289152994	0.00233136862283701	0.00153322336420928
vm_fultimo_cierre_lag1	0.0013371002997252	0.00175655521006867	0.00164953686080447
Master_mlimitecompra_delta1	0.00132528569422908	0.00200239925537743	0.00152617406138533
Master_cconsumos_lag1	0.00132451742647931	0.00115721115345648	0.00178699826587151
ctarjeta_visa_descuentos_delta1	0.00131033923905008	0.00103872619472308	0.00238971365731929
mextraccion_autoservicio_lag1	0.00126554330467233	0.00245169982172446	0.00144158242749792
Master_cconsumos	0.00126361463020288	0.00134592980802444	0.00177994896304755
vm_mconsumospesos_lag1	0.00126271238814007	0.0012184602894646	0.00152264940997335
internet_lag1	0.00125954722882235	0.00326358264537542	0.000549845620268156
vm_mconsumototal_delta1	0.00125192237956394	0.00160023317162791	0.00158256848397693
Master_msaldopesos_delta1	0.0012511802621705	0.0016195021737097	0.00148035359302965
cproductos_delta1	0.00123384706288257	0.00434404128678314	0.000465253986380747
Visa_mlimitecompra_delta1	0.00122112531147675	0.00195557980355735	0.00133936753655064
Master_mconsumosdolares_lag1	0.00122054274575542	0.000823846288636831	0.00207249503024151
vmr_mconsumosdolares_lag1	0.00121512616937123	0.00170840239428778	0.00150502615291348
vm_mconsumospesos	0.00121128482589831	0.00101359992203612	0.00148035359302965
ccajas_transacciones_lag1	0.0011649056352095	0.00228052149491786	0.00128297311395903
vm_mconsumospesos_delta1	0.00116010243786182	0.00146440411354314	0.00150855080432545
vm_mpagospesos	0.00115505437234152	0.00103029864583647	0.00133936753655064
Visa_mpagosdolares_lag1	0.00112688365610768	0.00138042263437909	0.00126534985689915
cseguro_vida	0.0011227549655004	0.00238234406492246	0.00112788845183211
vm_mconsumototal	0.00111253620785592	0.00114621979431164	0.00142043451902607
ctarjeta_visa_transacciones_lag1	0.00110935808184464	0.00124449170492878	0.00131821962807878
mpayroll_sobre_edad_delta1	0.0011062872445635	0.00232709211808039	0.000708454933807047
ctarjeta_master	0.00109744139531158	0.000449254339004694	0.000630912602743589
ctarjeta_visa_descuentos	0.00108149762245075	0.000783662172566702	0.00199495269917805
cpayroll_trx_lag1	0.00108028532842201	0.00042597811119132	6.69683768275318e-05
vm_msaldototal_lag1	0.00106804339307986	0.00123088317433424	0.00126534985689915
vm_mconsumototal_lag1	0.00106039750380843	0.00105581395109582	0.00132879358231471
Visa_mfinanciacion_limite_delta1	0.00105712078635676	0.0020041979365373	0.00119133217724767
ccajas_transacciones_delta1	0.00103188056322507	0.00186104821759646	0.000719028888042973
vm_fultimo_cierre	0.00102962307992479	0.00114566002495015	0.00126534985689915
vmr_mpagado	0.00101369083311548	0.00162145542160066	0.000990427046765075
vmr_mpagado_lag1	0.000967604078870326	0.00165519101364998	0.00106092007500458
mtarjeta_master_consumo	0.000949557581301075	0.0017322690194549	0.000694356328159145
tmobile_app	0.000926893181043991	0.00272452398931329	0.00039476095814124
ctarjeta_debito_transacciones_lag1	0.000926615701395284	0.00183714421105991	0.00105034612076866
Master_status_delta1	0.000921603543566773	0.000511103193929417	0.000236151644602349
vmr_Master_mlimitecompra_delta1	0.00091858899005736	0.00232196735110357	0.00105387077218063
mpayroll_delta1	0.000917655790564849	0.00213595984455782	0.000673208419687293
Master_mconsumosdolares	0.0009143404137462	0.000664648072464061	0.00159314243821286
matm	0.000907040784174301	0.00220361346495813	0.000962229835469272
mplazo_fijo_dolares	0.00089512929573193	0.00378987427968603	0.000408859563789141
mpagomiscuentas_delta1	0.000857528025520285	0.00236604398061132	0.000856490293110011
Master_mpagosdolares_lag1	0.000848652644174524	0.000562099657090292	0.00130412102243088
mextraccion_autoservicio_delta1	0.00082702647512438	0.00215277194900029	0.000902310761465691
Visa_mpagado_lag1	0.00080563388094165	0.00136014566697465	0.000817719127578283
vm_cconsumos_lag1	0.000802058831596525	0.00111786084167231	0.000793046567694455
Visa_fultimo_cierre_delta1	0.000782956318319211	0.000824882599120003	0.00109616658912434
Master_mpagosdolares	0.000756241933630775	0.000632731611942109	0.00122657869136742
matm_delta1	0.000753489995393464	0.00200242826636388	0.000754275402162726
vmr_mconsumosdolares_delta1	0.000710406352149043	0.00152178898615618	0.000715504236630997
Master_cconsumos_delta1	0.000710127340195929	0.00102602518485548	0.0010291982122968
cmobile_app_trx_delta1	0.000691066510495295	0.00209707846445626	0.000750750750750751
Master_madelantopesos_lag1	0.000672612051972014	0.000341619108731467	0.00128297311395903
tcuentas_lag1	0.00064515721289095	0.00286118409326236	0.000352465141197536
ccomisiones_otras_lag1	0.000643342883824375	0.00275567579632683	0.000465253986380747
Visa_Fvencimiento_delta1	0.000640906291809952	0.000658226657069936	0.000909360064289642
Visa_mpagosdolares	0.000638405255680138	0.000742577098910837	0.000898786110053716
matm_other_lag1	0.000621462361457602	0.00288482224502144	0.00059214143721186
Visa_status_delta1	0.000615845163119278	0.000978557884416688	0.000289021415781979
ccaja_ahorro_lag1	0.000611689097101499	0.000996002523481753	0.000222053038954447
ctarjeta_master_descuentos_delta1	0.000598130210335005	0.000342688139802636	0.000962229835469272
Visa_msaldodolares	0.000587995869642842	0.00171851600463604	0.000521648408972353
matm_other_delta1	0.000567270364887274	0.00322180711024206	0.000570993528740008
Visa_mpagado	0.000556014137449647	0.00121724677416911	0.000556894923092106
vmr_mpagado_delta1	0.000549734010408852	0.00194451739127521	0.000599190740035811
Visa_msaldodolares_lag1	0.000546562879118103	0.00152814106053679	0.000528697711796303
vm_mconsumosdolares_lag1	0.000535922934967147	0.00128833767331476	0.000627387951331613
Master_madelantopesos	0.000534937957945186	0.000271592199403604	0.00103977216653273
ctarjeta_debito_transacciones_delta1	0.00053384466106992	0.00180191792989703	0.000507549803324451
vmr_msaldodolares_lag1	0.000527548123842938	0.000958018391364383	0.000556894923092106
vm_mconsumosdolares	0.000519689587013992	0.00134233149452481	0.000553370271680131
ctarjeta_master_descuentos_lag1	0.000515474872820482	0.000356352790010308	0.000951655881233346
ctarjeta_master_descuentos	0.00051163605200409	0.000389387742957376	0.000860014944521987
vmr_mpagosdolares_lag1	0.000509357090184337	0.00114214351292051	0.000556894923092106
ctarjeta_visa_transacciones_delta1	0.000505076929215989	0.00204343572374124	0.000440581426496919
vmr_Visa_mlimitecompra_delta1	0.000502723168267457	0.00138581858274071	0.000542796317444205
vm_fultimo_cierre_delta1	0.000499392722231625	0.000451939044226131	0.000676733071099268
mcuenta_debitos_automaticos_delta1	0.000489462868945426	0.00219313307964676	0.000489926546264574
mtarjeta_master_consumo_lag1	0.000483229547477462	0.00128185671405992	0.000563944225916057
ccaja_seguridad	0.000478644037025279	0.00143306910928403	0.000112788845183211
Visa_mpagado_delta1	0.000472562194960117	0.00130339418504609	0.000465253986380747
Visa_fechaalta_delta1	0.000463818665107293	0.000349634891846468	0.000662634465451367
ccajas_consultas	0.000459496015571296	0.00116053857092526	9.16409367113592e-05
vm_mlimitecompra_delta1	0.000422353535936629	0.00121569730213874	0.000398285609553215
Master_mconsumosdolares_delta1	0.00042110348836765	0.000245319184248987	0.000673208419687293
mttarjeta_master_debitos_automaticos_lag1	0.00041795095655636	0.00104678611258468	0.000405334912377166
Visa_mpagosdolares_delta1	0.000414003257238824	0.0009264584330628	0.000599190740035811
mplazo_fijo_dolares_delta1	0.000403257146529637	0.0025368531545051	0.000267873507310127
vmr_msaldodolares	0.000400346524835801	0.00098585305365188	0.000412384215201117
ccaja_seguridad_lag1	0.000387235189894354	0.00170463809989847	0.000169183267774817
Visa_status_lag1	0.00038435699414219	0.000748791442444303	0.000123362799419137
vmr_msaldodolares_delta1	0.000384071979706963	0.00162627485983484	0.000437056775084944
vm_cconsumos_delta1	0.000381909787952128	0.00106108710213448	0.00029607071860593
vm_cconsumos	0.000375644303921965	0.000417830304308477	0.000440581426496919
vm_mfinanciacion_limite_delta1	0.000371270074954777	0.00111443278937185	0.000324267929901733
vm_mpagado_lag1	0.000370644662052902	0.0006322463199655	0.000384187003905314
vm_Finiciomora_lag1	0.0003676383571469	0.00168941674869331	0.000253774901662226
Master_mpagado	0.000367370090243208	0.00110293597323687	0.000387711655317289
Master_mpagado_lag1	0.00036237002229842	0.000827926469865484	0.000398285609553215
Master_mpagosdolares_delta1	0.000354374016240748	0.000248701104325095	0.000535747014620254
ccajas_consultas_lag1	0.000353834556534897	0.00188823626779909	0.000176232570598768
ccaja_ahorro	0.000353834271600625	0.00200585793567014	0.00015156001071494
